mpg	cylinder	displace	hp	accel	year	weight	price	USA	Europe	Japan
43,10	4,00	90,00	48,00	21,50	78,00	1985,00	2400,00	0,00	1,00	0,00
36,10	4,00	98,00	66,00	14,40	78,00	1800,00	1900,00	1,00	0,00	0,00
32,80	4,00	78,00	52,00	19,40	78,00	1985,00	2200,00	0,00	0,00	1,00
39,40	4,00	85,00	70,00	18,60	78,00	2070,00	2725,00	0,00	0,00	1,00
36,10	4,00	91,00	60,00	16,40	78,00	1800,00	2250,00	0,00	0,00	1,00
19,90	8,00	260,00	110,00	15,50	78,00	3365,00	3300,00	1,00	0,00	0,00
19,40	8,00	318,00	140,00	13,20	78,00	3735,00	3125,00	1,00	0,00	0,00
20,20	8,00	302,00	139,00	12,80	78,00	3570,00	2850,00	1,00	0,00	0,00
19,20	6,00	231,00	105,00	19,20	78,00	3535,00	2800,00	1,00	0,00	0,00
20,50	6,00	200,00	95,00	18,20	78,00	3155,00	3275,00	1,00	0,00	0,00
20,20	6,00	200,00	85,00	15,80	78,00	2965,00	2375,00	1,00	0,00	0,00
25,10	4,00	140,00	88,00	15,40	78,00	2720,00	2275,00	1,00	0,00	0,00
20,50	6,00	225,00	100,00	17,20	78,00	3430,00	2700,00	1,00	0,00	0,00
19,40	6,00	232,00	90,00	17,20	78,00	3210,00	2300,00	1,00	0,00	0,00
20,60	6,00	231,00	105,00	15,80	78,00	3380,00	3300,00	1,00	0,00	0,00
20,80	6,00	200,00	85,00	16,70	78,00	3070,00	2425,00	1,00	0,00	0,00
18,60	6,00	225,00	110,00	18,70	78,00	3620,00	2700,00	1,00	0,00	0,00
18,10	6,00	258,00	120,00	15,10	78,00	3410,00	2425,00	1,00	0,00	0,00
19,20	8,00	305,00	145,00	13,20	78,00	3425,00	3900,00	1,00	0,00	0,00
17,70	6,00	231,00	165,00	13,40	78,00	3445,00	4400,00	1,00	0,00	0,00
18,10	8,00	302,00	139,00	11,20	78,00	3205,00	2525,00	1,00	0,00	0,00
17,50	8,00	318,00	140,00	13,70	78,00	4080,00	3000,00	1,00	0,00	0,00
30,00	4,00	98,00	68,00	16,50	78,00	2155,00	2100,00	1,00	0,00	0,00
27,50	4,00	134,00	95,00	14,20	78,00	2560,00	2975,00	0,00	0,00	1,00
27,20	4,00	119,00	97,00	14,70	78,00	2300,00	2775,00	0,00	0,00	1,00
30,90	4,00	105,00	75,00	14,50	78,00	2230,00	2250,00	1,00	0,00	0,00
21,10	4,00	134,00	95,00	14,80	78,00	2515,00	3700,00	0,00	0,00	1,00
23,20	4,00	156,00	105,00	16,70	78,00	2745,00	3200,00	1,00	0,00	0,00
23,80	4,00	151,00	85,00	17,60	78,00	2855,00	2400,00	1,00	0,00	0,00
23,90	4,00	119,00	97,00	14,90	78,00	2405,00	2975,00	0,00	0,00	1,00
20,30	5,00	131,00	103,00	15,90	78,00	2830,00	4475,00	0,00	1,00	0,00
17,00	6,00	163,00	125,00	13,60	78,00	3140,00	5875,00	0,00	1,00	0,00
21,60	4,00	121,00	115,00	15,70	78,00	2795,00	4200,00	0,00	1,00	0,00
16,20	6,00	163,00	133,00	15,80	78,00	3410,00	5450,00	0,00	1,00	0,00
31,50	4,00	89,00	71,00	14,90	78,00	1990,00	3675,00	0,00	1,00	0,00
29,50	4,00	98,00	68,00	16,60	78,00	2135,00	3425,00	0,00	0,00	1,00
21,50	6,00	231,00	115,00	15,40	79,00	3245,00	3925,00	1,00	0,00	0,00
19,80	6,00	200,00	85,00	18,20	79,00	2990,00	3200,00	1,00	0,00	0,00
22,30	4,00	140,00	88,00	17,30	79,00	2890,00	2975,00	1,00	0,00	0,00
20,20	6,00	232,00	90,00	18,20	79,00	3265,00	3150,00	1,00	0,00	0,00
20,60	6,00	225,00	110,00	16,60	79,00	3360,00	3325,00	1,00	0,00	0,00
17,00	8,00	305,00	130,00	15,40	79,00	3840,00	4650,00	1,00	0,00	0,00
17,60	8,00	302,00	129,00	13,40	79,00	3725,00	4850,00	1,00	0,00	0,00
16,50	8,00	351,00	138,00	13,20	79,00	3955,00	5725,00	1,00	0,00	0,00
