score	c1	c2	c3	tc	domain_level	own_mp3 	forum	page_count	total_mp3	good_mp3	av_mp3	av_good	av_author	av_album	page_count	total_mp3	good_mp3	av_mp3	av_good	av_author	av_album	page_count	total_mp3	good_mp3	av_mp3	av_good	av_author	av_album
0	0.169	0.009	0.258	0	0.613	0	1	0.597	0.054	0.086	0.216	0.059	0.468	0.575	0.054	0.056	0.004	0.521	0.059	0.468	0.575	0.054	0.056	0.004	0.247	0.059	0.468	0.575
3	0.031	0.131	0.677	0	0.05	0	1	0.05	0.95	0.95	0.113	0.054	0.95	0.95	0.95	0.95	0.95	0.95	0.054	0.95	0.95	0.95	0.95	0.95	0.143	0.054	0.95	0.95
3	0.031	0.131	0.677	0	0.05	0	1	0.05	0.95	0.95	0.113	0.054	0.95	0.95	0.95	0.95	0.95	0.95	0.054	0.95	0.95	0.95	0.95	0.95	0.143	0.054	0.95	0.95
3	0.031	0.131	0.677	0	0.05	0	1	0.05	0.95	0.95	0.113	0.054	0.95	0.95	0.95	0.95	0.95	0.95	0.054	0.95	0.95	0.95	0.95	0.95	0.143	0.054	0.95	0.95
3	0.031	0.131	0.677	0	0.05	0	1	0.05	0.95	0.95	0.113	0.054	0.95	0.95	0.95	0.95	0.95	0.95	0.054	0.95	0.95	0.95	0.95	0.95	0.143	0.054	0.95	0.95
2	0.31	0.387	0.296	1	0.613	0	1	0.113	0.058	0.167	0.656	0.167	0.95	0.106	0.051	0.064	0.012	0.95	0.167	0.95	0.106	0.051	0.064	0.012	0.883	0.167	0.95	0.106
1	0.559	0.013	0.075	0	0.613	0	1	0.113	0.05	0.05	0.113	0.05	0.95	0.95	0.051	0.051	0	0.95	0.05	0.95	0.95	0.051	0.051	0	0.143	0.05	0.95	0.95
2	0.047	0.346	0.56	0	0.613	0	1	0.05	0.95	0.95	0.244	0.062	0.851	0.814	0.403	0.729	0.506	0.47	0.062	0.851	0.814	0.403	0.729	0.506	0.273	0.062	0.851	0.814
3	0.223	0.018	0.486	1	0.613	0	1	0.05	0.95	0.95	0.407	0.23	0.255	0.672	0.116	0.95	0.95	0.95	0.23	0.255	0.672	0.116	0.95	0.95	0.698	0.23	0.255	0.672
2	0.565	0.075	0.33	0	0.05	0	1	0.05	0.95	0.95	0.995	0.12	0.697	0.736	0.338	0.95	0.95	0.053	0.12	0.697	0.736	0.338	0.95	0.95	0.987	0.12	0.697	0.736
3	0.222	0.303	0.418	0	0.05	0	0	0.938	0.054	0.113	0.113	0.059	0.95	0.95	0.056	0.056	0.007	0.95	0.059	0.95	0.95	0.056	0.056	0.007	0.143	0.059	0.95	0.95
3	0.012	0.168	0.373	0	0.613	0	0	0.257	0.059	0.14	0.995	0.095	0.575	0.2	0.052	0.065	0.01	0.068	0.095	0.575	0.2	0.052	0.065	0.01	0.95	0.095	0.575	0.2
2	0.103	0.445	0.425	0	0.613	0	0	0.113	0.056	0.104	0.96	0.104	0.95	0.95	0.051	0.06	0.006	0.95	0.104	0.95	0.95	0.051	0.06	0.006	1	0.104	0.95	0.95
1	0.254	0.013	0.202	0	0.05	0	1	0.05	0.95	0.95	0.882	0.15	0.95	0.254	0.122	0.95	0.842	0.95	0.15	0.95	0.254	0.122	0.95	0.842	0.987	0.15	0.95	0.254
3	0.317	0.022	0.186	0	0.613	0	0	0.113	0.053	0.095	0.743	0.095	0.05	0.05	0.051	0.054	0.005	0.15	0.095	0.05	0.05	0.051	0.054	0.005	0.687	0.095	0.05	0.05
3	0.016	0.179	0.561	0	0.613	0	0	0.113	0.052	0.068	0.597	0.068	0.106	0.387	0.051	0.054	0.002	0.2	0.068	0.106	0.387	0.051	0.054	0.002	0.567	0.068	0.106	0.387
1	0.446	0.326	0.214	0	0.05	0	1	0.05	0.95	0.95	0.18	0.058	0.649	0.702	0.95	0.95	0.95	0.614	0.058	0.649	0.702	0.95	0.95	0.95	0.212	0.058	0.649	0.702
3	0.007	0.279	0.631	1	0.613	0	1	0.063	0.097	0.824	0.361	0.072	0.891	0.604	0.082	0.135	0.082	0.333	0.072	0.891	0.604	0.082	0.135	0.082	0.374	0.072	0.891	0.604
3	0.304	0.316	0.361	0	0.613	0	1	0.588	0.95	0.95	0.929	0.154	0.2	0.95	0.065	0.229	0.186	0.95	0.154	0.2	0.95	0.065	0.229	0.186	0.998	0.154	0.2	0.95
0	0.112	0.021	0.007	0	0.613	0	0	0.113	0.05	0.059	0.113	0.059	0.95	0.95	0.051	0.051	0.001	0.95	0.059	0.95	0.95	0.051	0.051	0.001	0.143	0.059	0.95	0.95
3	0.222	0.303	0.418	0	0.05	0	1	0.407	0.95	0.95	0.863	0.163	0.69	0.45	0.068	0.282	0.238	0.95	0.163	0.69	0.45	0.068	0.282	0.238	0.981	0.163	0.69	0.45
3	0.07	0.104	0.757	0	0.05	0	1	0.257	0.052	0.05	0.257	0.05	0.387	0.95	0.052	0.054	0	0.45	0.05	0.387	0.95	0.052	0.054	0	0.284	0.05	0.387	0.95
2	0.107	0.764	0.115	0	0.05	0	1	0.05	0.95	0.95	0.113	0.297	0.95	0.95	0.238	0.95	0.95	0.95	0.297	0.95	0.95	0.238	0.95	0.95	0.308	0.297	0.95	0.95
2	0.107	0.764	0.115	0	0.05	0	1	0.05	0.95	0.95	0.113	0.297	0.95	0.95	0.238	0.95	0.95	0.95	0.297	0.95	0.95	0.238	0.95	0.95	0.308	0.297	0.95	0.95
3	0.091	0.372	0.522	1	0.05	0	1	0.051	0.073	0.248	0.113	0.054	0.95	0.95	0.091	0.091	0.021	0.95	0.054	0.95	0.95	0.091	0.091	0.021	0.143	0.054	0.95	0.95
3	0.046	0.435	0.277	0	0.613	0	1	0.984	0.083	0.536	0.991	0.111	0.254	0.468	0.057	0.109	0.051	0.071	0.111	0.254	0.468	0.057	0.109	0.051	0.939	0.111	0.254	0.468
2	0.255	0.446	0.283	1	0.613	0	1	0.051	0.95	0.905	0.3	0.069	0.881	0.621	0.091	0.144	0.09	0.392	0.069	0.881	0.621	0.091	0.144	0.09	0.322	0.069	0.881	0.621
1	0.559	0.013	0.075	0	0.613	0	1	0.428	0.053	0.086	0.203	0.062	0.5	0.5	0.053	0.054	0.004	0.55	0.062	0.5	0.5	0.053	0.054	0.004	0.235	0.062	0.5	0.5
3	0.008	0.261	0.477	1	0.613	0	1	1	0.055	0.122	0.113	0.058	0.95	0.95	0.058	0.058	0.008	0.95	0.058	0.95	0.95	0.058	0.058	0.008	0.143	0.058	0.95	0.95
3	0.091	0.372	0.522	1	0.05	0	1	0.858	0.064	0.293	0.674	0.09	0.95	0.95	0.055	0.074	0.026	0.172	0.09	0.95	0.95	0.055	0.074	0.026	0.629	0.09	0.95	0.95
2	0.075	0.451	0.453	1	0.05	0	1	0.428	0.052	0.077	0.113	0.059	0.95	0.95	0.053	0.053	0.003	0.95	0.059	0.95	0.95	0.053	0.053	0.003	0.143	0.059	0.95	0.95
1	0.145	0.32	0.522	1	0.613	0	1	0.113	0.054	0.113	0.938	0.113	0.95	0.95	0.051	0.056	0.007	0.093	0.113	0.95	0.95	0.051	0.056	0.007	0.867	0.113	0.95	0.95
3	0.027	0.038	0.491	0	0.613	0	0	0.113	0.051	0.059	0.257	0.059	0.387	0.387	0.051	0.052	0.001	0.45	0.059	0.387	0.387	0.051	0.052	0.001	0.284	0.059	0.387	0.387
3	0.213	0.059	0.267	0	0.613	0	1	0.113	0.052	0.068	0.428	0.068	0.2	0.2	0.051	0.053	0.002	0.283	0.068	0.2	0.2	0.051	0.053	0.002	0.43	0.068	0.2	0.2
2	0.459	0.015	0.212	0	0.05	0	1	0.05	0.95	0.95	0.406	0.066	0.272	0.37	0.95	0.95	0.95	0.298	0.066	0.272	0.37	0.95	0.95	0.95	0.412	0.066	0.272	0.37
3	0.459	0.015	0.212	0	0.05	0	1	0.05	0.95	0.95	0.406	0.066	0.272	0.37	0.95	0.95	0.95	0.298	0.066	0.272	0.37	0.95	0.95	0.95	0.412	0.066	0.272	0.37
3	0.154	0.349	0.485	1	0.05	0	1	0.05	0.95	0.95	0.113	0.059	0.95	0.95	0.252	0.252	0.205	0.95	0.059	0.95	0.95	0.252	0.252	0.205	0.143	0.059	0.95	0.95
3	0.154	0.349	0.485	1	0.05	0	1	0.05	0.95	0.95	0.113	0.059	0.95	0.95	0.252	0.252	0.205	0.95	0.059	0.95	0.95	0.252	0.252	0.205	0.143	0.059	0.95	0.95
3	0.262	0.389	0.321	0	0.613	0	1	0.05	0.95	0.95	0.209	0.066	0.537	0.841	0.369	0.95	0.601	0.95	0.066	0.537	0.841	0.369	0.95	0.601	0.476	0.066	0.537	0.841
