mpg	cylinder	displace	hp	accel	year	weight	price	USA	Europe	Japan
0,83	0,333333333	0,114285714	0,175	0,766666667	0	0,161666667	2400,00	0	1	0
0,65	0,333333333	0,137142857	0,2875	0,293333333	0	0,1	1900	1	0	0
0,57	0,333333333	0,08	0,2	0,626666667	0	0,161666667	2200	0	0	1
0,74	0,333333333	0,1	0,3125	0,573333333	0	0,19	2725	0	0	1
0,65	0,333333333	0,117142857	0,25	0,426666667	0	0,1	2250	0	0	1
0,25	1	0,6	0,5625	0,366666667	0	0,621666667	3300	1	0	0
0,24	1	0,765714286	0,75	0,213333333	0	0,745	3125	1	0	0
0,26	1	0,72	0,74375	0,186666667	0	0,69	2850	1	0	0
0,23	0,666666667	0,517142857	0,53125	0,613333333	0	0,678333333	2800	1	0	0
0,26	0,666666667	0,428571429	0,46875	0,546666667	0	0,551666667	3275	1	0	0
0,26	0,666666667	0,428571429	0,40625	0,386666667	0	0,488333333	2375	1	0	0
0,38	0,333333333	0,257142857	0,425	0,36	0	0,406666667	2275	1	0	0
0,26	0,666666667	0,5	0,5	0,48	0	0,643333333	2700	1	0	0
0,24	0,666666667	0,52	0,4375	0,48	0	0,57	2300	1	0	0
0,27	0,666666667	0,517142857	0,53125	0,386666667	0	0,626666667	3300	1	0	0
0,27	0,666666667	0,428571429	0,40625	0,446666667	0	0,523333333	2425	1	0	0
0,22	0,666666667	0,5	0,5625	0,58	0	0,706666667	2700	1	0	0
0,20	0,666666667	0,594285714	0,625	0,34	0	0,636666667	2425	1	0	0
0,23	1	0,728571429	0,78125	0,213333333	0	0,641666667	3900	1	0	0
0,19	0,666666667	0,517142857	0,90625	0,226666667	0	0,648333333	4400	1	0	0
0,20	1	0,72	0,74375	0,08	0	0,568333333	2525	1	0	0
0,19	1	0,765714286	0,75	0,246666667	0	0,86	3000	1	0	0
0,50	0,333333333	0,137142857	0,3	0,433333333	0	0,218333333	2100	1	0	0
0,44	0,333333333	0,24	0,46875	0,28	0	0,353333333	2975	0	0	1
0,43	0,333333333	0,197142857	0,48125	0,313333333	0	0,266666667	2775	0	0	1
0,52	0,333333333	0,157142857	0,34375	0,3	0	0,243333333	2250	1	0	0
0,28	0,333333333	0,24	0,46875	0,32	0	0,338333333	3700	0	0	1
0,33	0,333333333	0,302857143	0,53125	0,446666667	0	0,415	3200	1	0	0
0,35	0,333333333	0,288571429	0,40625	0,506666667	0	0,451666667	2400	1	0	0
0,35	0,333333333	0,197142857	0,48125	0,326666667	0	0,301666667	2975	0	0	1
0,26	0,5	0,231428571	0,51875	0,393333333	0	0,443333333	4475	0	1	0
0,18	0,666666667	0,322857143	0,65625	0,24	0	0,546666667	5875	0	1	0
0,29	0,333333333	0,202857143	0,59375	0,38	0	0,431666667	4200	0	1	0
0,16	0,666666667	0,322857143	0,70625	0,386666667	0	0,636666667	5450	0	1	0
0,54	0,333333333	0,111428571	0,31875	0,326666667	0	0,163333333	3675	0	1	0
0,49	0,333333333	0,137142857	0,3	0,44	0	0,211666667	3425	0	0	1
0,29	0,666666667	0,517142857	0,59375	0,36	0,25	0,581666667	3925	1	0	0
0,25	0,666666667	0,428571429	0,40625	0,546666667	0,25	0,496666667	3200	1	0	0
0,31	0,333333333	0,257142857	0,425	0,486666667	0,25	0,463333333	2975	1	0	0
0,26	0,666666667	0,52	0,4375	0,546666667	0,25	0,588333333	3150	1	0	0
0,27	0,666666667	0,5	0,5625	0,44	0,25	0,62	3325	1	0	0
0,18	1	0,728571429	0,6875	0,36	0,25	0,78	4650	1	0	0
0,19	1	0,72	0,68125	0,226666667	0,25	0,741666667	4850	1	0	0
0,16	1	0,86	0,7375	0,213333333	0,25	0,818333333	5725	1	0	0
0,21	1	0,765714286	0,71875	0,346666667	0,25	0,776666667	4025	1	0	0
0,17	1	0,857142857	0,84375	0,326666667	0,25	0,953333333	5225	1	0	0
0,14	1	0,86	0,7625	0,286666667	0,25	0,851333333	4825	1	0	0
0,23	1	0,62	0,65625	0,333333333	0,25	0,701666667	4100	1	0	0
0,21	1	0,885714286	0,8125	0,2	0,25	0,813333333	4725	1	0	0
0,55	0,333333333	0,111428571	0,31875	0,266666667	0,25	0,141666667	3100	0	1	0
0,60	0,333333333	0,102857143	0,28125	0,346666667	0,25	0,158333333	2750	0	0	1
0,64	0,333333333	0,137142857	0,375	0,293333333	0,25	0,138333333	2700	1	0	0
0,44	0,333333333	0,202857143	0,375	0,333333333	0,25	0,39	2725	1	0	0
0,33	1	0,857142857	0,65625	0,493333333	0,25	0,8	9900	1	0	0
0,43	0,333333333	0,26	0,31875	0,986666667	0,25	0,563333333	4675	0	1	0
0,35	1	0,6	0,4375	0,813333333	0,25	0,64	4050	1	0	0
0,61	0,333333333	0,157142857	0,3125	0,213333333	0,25	0,233333333	2625	1	0	0
0,61	0,333333333	0,157142857	0,3125	0,326666667	0,25	0,216666667	2775	1	0	0
0,55	0,333333333	0,1	0,28125	0,613333333	0,25	0,173333333	2750	0	0	1
0,68	0,333333333	0,117142857	0,30625	0,313333333	0,25	0,21	2275	0	1	0
0,46	0,333333333	0,288571429	0,4375	0,4	0,25	0,39	3525	1	0	0
0,47	0,666666667	0,351428571	0,59375	0,086666667	0,25	0,365	3625	1	0	0
0,42	0,666666667	0,351428571	0,59375	0,193333333	0,25	0,4	3525	1	0	0
0,59	0,333333333	0,288571429	0,4375	0,213333333	0,25	0,352	3325	1	0	0
