n	ne	e	se	s	sw	w	nw	c	distance	1-live	1-kitchen	2-live	2-kitchen	3-live	3-kitchen	4-live	4-kitchen	1	last	any	n-floor	kirpich	panel	block	price
1	0	0	0	0	0	0	0	0	0,506979736	0	0	0,102941176	0,2	0	0	0	0	0	0	1	0,8	1	0	0	4871
1	0	0	0	0	0	0	0	0	0,398872616	0	0	0,014705882	0,066666667	0	0	0	0	1	0	0	0,4	1	0	0	4545
1	0	0	0	0	0	0	0	0	0,36754683	0	0	0,117647059	0,266666667	0	0	0	0	0	1	0	1	1	0	0	3750
1	0	0	0	0	0	0	0	0	0,22006475	0	0	0,044117647	0,333333333	0	0	0	0	0	1	0	0,5	1	0	0	4142
1	0	0	0	0	0	0	0	0	0,146604366	0	0	0,014705882	0,066666667	0	0	0	0	1	0	0	0,2	1	0	0	3787
1	0	0	0	0	0	0	0	0	0,033655823	0	0	0,147058824	0,333333333	0	0	0	0	0	0	1	1	1	0	0	3690
1	0	0	0	0	0	0	0	0	0,579949824	0,485714286	0,4	0	0	0	0	0	0	1	0	0	0,5	1	0	0	4761
1	0	0	0	0	0	0	0	0	0,323760746	0,142857143	0,1	0	0	0	0	0	0	0	0	1	0,4	1	0	0	4900
1	0	0	0	0	0	0	0	0	0,035747842	0,171428571	0,1	0	0	0	0	0	0	0	0	1	0,2	1	0	0	4193
1	0	0	0	0	0	0	0	0	0,465547406	0	0	0	0	0	0,133333333	0	0	0	0	1	0,5	1	0	0	4714
1	0	0	0	0	0	0	0	0	0,190782398	0	0	0	0	0	0,066666667	0	0	0	0	1	0,4	1	0	0	4363
1	0	0	0	0	0	0	0	0	0,038075319	0	0	0	0	0	0,066666667	0	0	0	1	0	0,4	1	0	0	3906
1	0	0	0	0	0	0	0	0	0,224066671	0	0	0	0	0	0	0	0,142857143	0	0	1	0,9	1	0	0	4871
1	0	0	0	0	0	0	0	0	0,52449466	0	0	0,323529412	0,266666667	0	0	0	0	0	0	1	0,8	0	1	0	5000
1	0	0	0	0	0	0	0	0	0,199712976	0	0	0,205882353	0,066666667	0	0	0	0	1	0	0	0,4	0	1	0	3630
1	0	0	0	0	0	0	0	0	0,158989123	0	0	0,352941176	0,466666667	0	0	0	0	0	0	1	1	0	1	0	4464
1	0	0	0	0	0	0	0	0	0,039968298	0	0	0,088235294	0,133333333	0	0	0	0	0	1	0	0,5	0	1	0	4210
1	0	0	0	0	0	0	0	0	0,03090534	0	0	0,294117647	0,2	0	0	0	0	0	0	1	0,8	0	1	0	3557
1	0	0	0	0	0	0	0	0	0,632439768	0,857142857	0,3	0	0	0	0	0	0	0	0	1	0,5	0	1	0	5000
1	0	0	0	0	0	0	0	0	0,437695661	0,714285714	0,2	0	0	0	0	0	0	1	0	0	0,4	0	1	0	4600
1	0	0	0	0	0	0	0	0	0,362235535	0,857142857	0,4	0	0	0	0	0	0	0	0	1	0,4	0	1	0	5818
1	0	0	0	0	0	0	0	0	0,034007575	0,628571429	0,1	0	0	0	0	0	0	0	1	0	0,4	0	1	0	3510
1	0	0	0	0	0	0	0	0	0,497924873	0	0	0	0	0	0,133333333	0	0	0	0	1	0,4	0	1	0	4729
1	0	0	0	0	0	0	0	0	0,283613867	0	0	0	0	0	0,066666667	0	0	1	0	0	0,5	0	1	0	3777
1	0	0	0	0	0	0	0	0	0,211539646	0	0	0	0	0	0,066666667	0	0	0	0	1	1	0	1	0	4500
1	0	0	0	0	0	0	0	0	0,03812814	0	0	0	0	0	0,066666667	0	0	0	0	1	0,2	0	1	0	3488
1	0	0	0	0	0	0	0	0	0,143388375	0	0	0	0	0	0	0	0,285714286	0	0	1	0,9	0	1	0	4482
1	0	0	0	0	0	0	0	0	0,143388375	0	0	0	0	0	0	0	0,428571429	0	0	1	0,9	0	1	0	4600
1	0	0	0	0	0	0	0	0	0,525586451	0	0	0,470588235	0,2	0	0	0	0	0	0	1	0,5	0	0	1	5859
1	0	0	0	0	0	0	0	0	0,414372448	0	0	0,544117647	0,133333333	0	0	0	0	1	0	0	0,5	0	0	1	4057
1	0	0	0	0	0	0	0	0	0,385552703	0	0	0,485294118	0,133333333	0	0	0	0	0	1	0	0,5	0	0	1	3692
1	0	0	0	0	0	0	0	0	0,149892486	0	0	0,705882353	0,266666667	0	0	0	0	0	1	0	1	0	0	1	3250
1	0	0	0	0	0	0	0	0	0,042836961	0	0	0,411764706	0,066666667	0	0	0	0	0	0	1	0,4	0	0	1	4000
1	0	0	0	0	0	0	0	0	0,030585675	0	0	0,617647059	0,333333333	0	0	0	0	0	0	1	0,8	0	0	1	3581
1	0	0	0	0	0	0	0	0	0,621144138	1	0,3	0	0	0	0	0	0	0	1	0	0,4	0	0	1	4698
1	0	0	0	0	0	0	0	0	0,407536162	1	0,4	0	0	0	0	0	0	1	0	0	0,5	0	0	1	4342
1	0	0	0	0	0	0	0	0	0,359982826	1	0,4	0	0	0	0	0	0	0	0	1	0,4	0	0	1	3373
1	0	0	0	0	0	0	0	0	0,262429167	1	0,3	0	0	0	0	0	0	0	0	1	0,2	0	0	1	4415
1	0	0	0	0	0	0	0	0	0,039500095	0,942857143	0	0	0	0	0	0	0	0	1	0	0,2	0	0	1	3189
1	0	0	0	0	0	0	0	0	0,430176312	0	0	0	0	0,02027027	0	0	0	1	0	0	0,2	0	0	1	3363
1	0	0	0	0	0	0	0	0	0,168520963	0	0	0	0	0,108108108	0,266666667	0	0	0	0	1	0,5	0	0	1	4705
1	0	0	0	0	0	0	0	0	0,042836961	0	0	0	0	0,074324324	0,266666667	0	0	0	0	1	0,5	0	0	1	3492
1	0	0	0	0	0	0	0	0	0,350867928	0	0	0	0	0	0	0,494680851	1	0	0	1	0,8	0	0	1	5612
0	1	0	0	0	0	0	0	0	0,612592663	0	0	0,014705882	0,133333333	0	0	0	0	0	0	1	0,4	1	0	0	4545
0	1	0	0	0	0	0	0	0	0,269994136	0	0	0	0,066666667	0	0	0	0	0	0	1	0,4	1	0	0	4312
0	1	0	0	0	0	0	0	0	0,195061367	0	0	0,044117647	0,133333333	0	0	0	0	1	0	0	0,4	1	0	0	3942
0	1	0	0	0	0	0	0	0	0,009387781	0	0	0	0,066666667	0	0	0	0	0	0	1	0,4	1	0	0	4354
0	1	0	0	0	0	0	0	0	0,546388866	0,228571429	0,1	0	0	0	0	0	0	1	0	0	0,2	1	0	0	3636
0	1	0	0	0	0	0	0	0	0,354289345	0,8	1	0	0	0	0	0	0	1	0	0	0,8	1	0	0	4528
0	1	0	0	0	0	0	0	0	0,321301581	0,285714286	0,3	0	0	0	0	0	0	0	0	1	1	1	0	0	5142
0	1	0	0	0	0	0	0	0	0,265539793	0,257142857	0,1	0	0	0	0	0	0	0	1	0	0,4	1	0	0	3823
0	1	0	0	0	0	0	0	0	0,17837681	0,2	0,1	0	0	0	0	0	0	0	1	0	0,2	1	0	0	3906
